timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754427433338,1599,BasicPatientSearch,200,OK,Thread Group 1-3,text,true,,103720,1730,82,82,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1120,0,719
1754427433352,1622,BasicPatientSearch,200,OK,Thread Group 1-4,text,true,,103720,1730,83,83,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1128,0,742
1754427433379,1603,BasicPatientSearch,200,OK,Thread Group 1-6,text,true,,103720,1730,83,83,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1125,0,722
1754427433403,1624,BasicPatientSearch,200,OK,Thread Group 1-7,text,true,,103720,1730,87,87,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1127,0,742
1754427433490,1552,BasicPatientSearch,200,OK,Thread Group 1-11,text,true,,103720,1730,88,88,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1071,0,721
1754427433472,1683,BasicPatientSearch,200,OK,Thread Group 1-10,text,true,,103720,1730,93,93,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1198,0,723
1754427433502,1653,BasicPatientSearch,200,OK,Thread Group 1-12,text,true,,103720,1730,93,93,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1179,0,717
1754427433289,1886,BasicPatientSearch,200,OK,Thread Group 1-1,text,true,,103720,1730,94,94,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1171,0,753
1754427433322,1858,BasicPatientSearch,200,OK,Thread Group 1-2,text,true,,103720,1730,94,94,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1140,0,727
1754427433383,1819,BasicPatientSearch,200,OK,Thread Group 1-5,text,true,,103720,1730,96,96,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1095,0,715
1754427433579,1631,BasicPatientSearch,200,OK,Thread Group 1-16,text,true,,103720,1730,97,97,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1143,0,717
1754427433494,1716,BasicPatientSearch,200,OK,Thread Group 1-8,text,true,,103720,1730,97,97,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1222,0,728
1754427433449,1828,BasicPatientSearch,200,OK,Thread Group 1-9,text,true,,103720,1730,100,100,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1109,0,721
1754427433720,1581,BasicPatientSearch,200,OK,Thread Group 1-23,text,true,,103720,1730,101,101,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1091,0,742
1754427433649,1677,BasicPatientSearch,200,OK,Thread Group 1-19,text,true,,103720,1730,102,102,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1201,0,723
1754427433804,1530,BasicPatientSearch,200,OK,Thread Group 1-27,text,true,,103720,1730,103,103,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1058,0,717
1754427433819,1527,BasicPatientSearch,200,OK,Thread Group 1-28,text,true,,103720,1730,103,103,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1050,0,714
1754427433865,1542,BasicPatientSearch,200,OK,Thread Group 1-30,text,true,,103720,1730,106,106,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1066,0,726
1754427433568,1861,BasicPatientSearch,200,OK,Thread Group 1-14,text,true,,103720,1730,107,107,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1147,0,708
1754427433534,1904,BasicPatientSearch,200,OK,Thread Group 1-13,text,true,,103720,1730,108,108,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1181,0,719
1754427433566,1890,BasicPatientSearch,200,OK,Thread Group 1-15,text,true,,103720,1730,109,109,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1149,0,719
1754427433907,1551,BasicPatientSearch,200,OK,Thread Group 1-32,text,true,,103720,1730,109,109,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1071,0,728
1754427433659,1839,BasicPatientSearch,200,OK,Thread Group 1-17,text,true,,103720,1730,111,111,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1125,0,711
1754427433690,1814,BasicPatientSearch,200,OK,Thread Group 1-21,text,true,,103720,1730,111,111,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1096,0,721
1754427433746,1767,BasicPatientSearch,200,OK,Thread Group 1-24,text,true,,103720,1730,111,111,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1052,0,709
1754427433722,1796,BasicPatientSearch,200,OK,Thread Group 1-22,text,true,,103720,1730,112,112,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1077,0,720
1754427433668,1851,BasicPatientSearch,200,OK,Thread Group 1-20,text,true,,103720,1730,112,112,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1123,0,717
1754427433984,1557,BasicPatientSearch,200,OK,Thread Group 1-36,text,true,,103720,1730,112,112,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1070,0,721
1754427433632,1928,BasicPatientSearch,200,OK,Thread Group 1-18,text,true,,103720,1730,113,113,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1185,0,740
1754427434048,1536,BasicPatientSearch,200,OK,Thread Group 1-39,text,true,,103720,1730,115,115,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1057,0,717
1754427433797,1788,BasicPatientSearch,200,OK,Thread Group 1-26,text,true,,103720,1730,115,115,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1070,0,730
1754427434024,1567,BasicPatientSearch,200,OK,Thread Group 1-38,text,true,,103720,1730,115,115,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1091,0,720
1754427434060,1538,BasicPatientSearch,200,OK,Thread Group 1-40,text,true,,103720,1730,115,115,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1061,0,721
1754427434004,1597,BasicPatientSearch,200,OK,Thread Group 1-37,text,true,,103720,1730,116,116,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1105,0,747
1754427433846,1755,BasicPatientSearch,200,OK,Thread Group 1-29,text,true,,103720,1730,116,116,https://dev-pm.centralus.cloudapp.azure.com/api/patient-search/BasicPatientSearch,1052,0,713
